Word,Meaning,Prefix,Root,Suffix,Story
incredible,難以置信的,in,cred,ible,in(不) + cred(相信) + ible(能夠的) -> 不能夠相信的
preview,預習;預告,pre,view,,pre(之前) + view(看) -> 預先看
export,出口;輸出,ex,port,,ex(向外) + port(拿;運) -> 向外運送
import,進口;輸入,im,port,,im(向內) + port(拿;運) -> 向內運送
transport,運輸,trans,port,,trans(橫越;交換) + port(拿;運) -> 橫越運送
report,報告,re,port,,re(回來;再次) + port(拿;運) -> 拿回來(的消息) -> 報告
support,支持,sup,port,,sup(在下面) + port(拿;運) -> 在下面支撐拿著 -> 支持
predict,預測,pre,dict,,pre(之前) + dict(說) -> 預先說 -> 預測
contradict,反駁,contra,dict,,contra(反對) + dict(說) -> 反著說 -> 反駁
invisible,看不見的,in,vis,ible,in(不) + vis(看) + ible(能夠的) -> 不能夠看見的